Category,Country,Code,Product,Stock,Reorder,Price,Special,Notes
Tea,China,138,Jasmine Yin Hao ,352,50,9.5,N,The best grade of Jasmine tea available grown in an area of outstanding natural beauty - a very delicate leaf that gives an exquisite infusion
Tea,China,139,Jasmine Chung Hao ,241,50,5.2,N,Very high quality well made leaf - aromatic infusion
Tea,China,140,Jasmine Monkey King,270,50,2.5,N,Our most economical yet far from ordinary offer
Tea,China,271,Pure Jasmine Blossoms ,331,50,2.5,N,These can be drunk as they are or added to tea to increase the concentration of jasmine
Tea,China,331,Jasmine Fortune Balls ,463,50,11,N,Tea buds are perfumed with jasmine blossoms then hand-tied into small balls crowned with a beautiful red smiling flower
Tea,China,141,Tarry Lapsang Crocodile,251,50,3.6,N,
Tea,China,142,Tarry Lapsang Souchong ,325,50,3,N,From the same beautiful province comes this slightly more full-bodied smoky infusion
Tea,China,338,Lapsang Gold ,79,50,5,N,This beautiful looking tea is named after the colour of the buds from which it is made
Tea,China,145,Lichee ,433,50,2.3,N,
Tea,China,146,Lotus Blossom ,193,50,2.3,N,
Coffee,El Salvador,405,Salvador Cloud ForestTM,264,50,2.75,N,Delicate balanced with a citrusy tang and sweet aroma
Coffee,Colombia,409, Colombian Inca Gold TM,71,50,2.75,N,The finest coffee from Colombia has a rich body heady aroma distinctive character and lingering fruity aftertaste
Coffee,Mexico,412,Mexican Aztec LiquidambarTM,10,50,2.75,N,For easy all day drinking mellow body lively fragrance with a satisfying nutty flavour
Coffee,Venezuela,474,Venezuelan Bright AngelTM,308,50,2.75,N,Rounded silky body with a fruity aroma - the depth of flavour being balanced by a lively sweet acidity
Coffee,Nicaragua,477,Nicaraguan La Illusion,371,50,2.75,N,Strong bodied clean balanced with a delicate aroma and refreshing character
Coffee,Guatemala,483,Guatemalan Black Bullper ,341,50,2.75,N,With a dark roast this silky balanced coffee gains more body and sweetness to complement its dark cocoa character
Coffee,Peru,479,Peru Treasure of the Andes,180,50,2.75,N,A slightly fuller roast gives this light bodied naturally grown coffee a creamy liquor with a sweet taste and aroma
Coffee,Haiti,416, Haiti Voodoo CometTM,62,50,2.75,N,Dense body complex flavour with a smooth character - one of our most popular dark coffees
Coffee,Colombia,417,Colombian Inca DarkTM ,402,50,2.75,N,Like elsewhere this continent produces many ordinary coffees but we have sought out types that can be considered amongst the world's best
Coffee,Kenya,420,Kenya Lion KingTM,64,50,3.5,N,An astonishingly rich snappy hearty flavour with an overwhelming aroma of blackcurrant fruit and leaves
Coffee,Ethiopia,421, Ethiopian Wild HorseTM,174,50,3.5,N,Rustic 'Mocha' character soft bodied
Coffee,Kenya,425,Kenya Lion King DarkTM ,121,50,3.5,N,Powerful flavour excellent fruity fragrance and darkly sweet aftertaste
Coffee,Tanzania,426,Tanzanian Kibo Chagga Dark,58,50,3.5,N,Fulfilling body brisk flavour and penetrating aroma
Coffee,Ethiopia,464,Ethiopian Yirgachefa Dark,125,50,3.5,N,Rich body fruity flavours and aroma - good espresso
Coffee,Sulawesi,437,Sulawesi Jewel of the RainforestTM,79,50,3.5,N,A roast falling between medium to dark brings out the rich body of this coffe - good espresso
Coffee,Australia,473, Australian Skybury,424,50,3.5,N,It is grown in the rainforest area of Queensland near a town called Paddy's Green - soft flavoured with a bright acidity and delicate body
Coffee,Java,436,Aged Java Blue PearlTM,197,50,3.5,N,Complex refined body sweet spicy earthy aromas - interesting espresso base
Coffee,Sumatra,438,Sumatran Jumpa JayaTM,408,50,3.5,N,Dark really heavy body syrupy rich with hints of spice and fruit complex chocolate like aroma full flavour - powerful espresso
Coffee,India,439, Indian Monsoon Malabar,159,50,3.5,N,Exclusive beans 'aged' to produce the most distinctive flavour - intense rich but mellow with a unique exotic character Surprising espresso coffee
Coffee,Italy,481,Nero,284,50,3.5,N,Blended from our finest beans to create the perfect espresso
Coffee,Colombia,462,Colombian Inca Dark Decaffeinated,30,50,4.5,N,Decaffeinated - powerful flavours with a wonderfully rich body - a very satisfying espresso
Coffee,Guatemala,470,Blue Pearl Decaffeinated per 125g.,473,50,4.5,N,Decaffeinated - powerful but always smooth with spicy chocolate notes and a mellow character - good espresso
Coffee,Guatemala,471,Maya Gold Decaffeinated,119,50,4.5,N,Decaffeinated - like our regular Guatemalan coffee this offers a fine bodied refreshing smooth liquor for a satisfying all day (and night!) cup
Coffee,Peru,484,Peruvian Treasure Organic Decaff ,178,50,4.5,N,Decaffeinated - our popular Peruvian coffee is naturally decaffeinated and maintains its smooth creamy character
